,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1605,1605,May,1690095,5733659,2019-05-27 20:30:00,2019-05-27 21:24:00,0:53:51,"Jones Motor Co., Albuquerque, NM 87106, USA","Jones Motor Co., Albuquerque, NM 87106, USA",36401751,1563346
1606,1606,May,1690097,1418950,2019-05-27 20:30:00,2019-05-27 20:59:00,0:28:59,"2414 Central Ave SE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36400852,1562819
1607,1607,May,1690105,3622262,2019-05-27 20:31:00,2019-05-27 21:06:00,0:34:58,"412 Gold Ave SW, Albuquerque, NM 87102, USA","100 Gold Ave SW, Albuquerque, NM 87102, USA",36122221,1562952
1608,1608,May,1690109,3819003,2019-05-27 20:31:00,2019-05-27 20:41:00,0:10:02,"3410 Central Ave SE, Albuquerque, NM 87106, USA","113 Carlisle Blvd SE, Albuquerque, NM 87106, USA",36398970,1562463
1609,1609,May,1690111,8622332,2019-05-27 20:31:00,2019-05-27 21:26:00,0:55:19,"205 Romero St NW, Albuquerque, NM 87104, USA","216 Silver Ave SW, Albuquerque, NM 87102, USA",36385128,1563386
1610,1610,May,1690112,9488315,2019-05-27 20:31:00,2019-05-27 21:27:00,0:56:17,"20 S Plaza St NW, Albuquerque, NM 87104, USA","205 Silver Ave SW, Albuquerque, NM 87102, USA",35851819,1563409
1611,1611,May,1690115,2279774,2019-05-27 20:31:00,2019-05-27 20:54:00,0:22:35,"401 2nd St NW, Albuquerque, NM 87102, USA","1710 Central Ave SW, Albuquerque, NM 87104, USA",36401883,1562718
1612,1612,May,1690117,6572301,2019-05-27 20:31:00,2019-05-27 20:39:00,0:08:11,"200 3rd St NW, Albuquerque, NM 87102, USA","5th @ Marquette, Albuquerque, NM 87102, USA",36376521,1562438
1613,1613,May,1690126,5512242,2019-05-27 20:31:00,2019-05-27 20:39:00,0:07:46,"200 3rd St NW, Albuquerque, NM 87102, USA","411 Marquette Ave NW, Albuquerque, NM 87102, USA",36121339,1562433
1614,1614,May,1690130,3260435,2019-05-27 20:32:00,2019-05-27 20:55:00,0:23:06,"401 2nd St NW, Albuquerque, NM 87102, USA","401 2nd St NW, Albuquerque, NM 87102, USA",36402367,1562748
1615,1615,May,1690139,8949574,2019-05-27 20:32:00,2019-05-27 21:00:00,0:27:29,"412 Gold Ave SW, Albuquerque, NM 87102, USA","205 Silver Ave SW, Albuquerque, NM 87102, USA",36085911,1562829
